,trajectory,time,status,moving,age_seconds,origin_marker,lon,lat,z,wind_drift_factor,current_drift_factor,terminal_velocity,diameter,density,dead,x_sea_water_velocity,y_sea_water_velocity,sea_surface_height,sea_surface_wave_significant_height,sea_ice_area_fraction,x_wind,y_wind,land_binary_mask,sea_floor_depth_below_sea_level,ocean_vertical_diffusivity,ocean_mixed_layer_thickness,sea_water_temperature,sea_water_salinity,surface_downward_x_stress,surface_downward_y_stress,turbulent_kinetic_energy,turbulent_generic_length_scale,upward_sea_water_velocity,fe,no3,po4,si,distance,kd,chl
1471,20,2025-12-04 08:56:18.211162,0.0,1.0,39600.0,0.0,75.50263,9.924022,-1.6864849,0.02,1.0,0.014061547,0.0014,1020.0,0.0,-0.090259604,-0.07909438,0.0,0.20237266,0.0,-1.3229889,2.5448442,0.0,100.0,0.02,50.0,10.0,34.0,0.0,0.0,0.0,0.0,0.0,0.00093587174,0.037282486,0.26058942,0.7391565,0.5759842933428824,0.07937548,0.5688393
1472,20,2025-12-04 09:56:18.211162,0.0,1.0,43200.0,0.0,75.499664,9.921448,0.0,0.02,1.0,0.014061547,0.0014,1020.0,0.0,-0.09507924,-0.08563174,0.0,0.16104358,0.0,-1.0484823,2.3339179,0.0,100.0,0.02,50.0,10.0,34.0,0.0,0.0,0.0,0.0,0.0,0.00093587174,0.037282486,0.26058942,0.7391565,0.5785523434834178,0.07937548,0.5688393
1473,20,2025-12-04 10:56:18.211162,0.0,1.0,46800.0,0.0,75.496544,9.918661,-0.3589853,0.02,1.0,0.014061547,0.0014,1020.0,0.0,-0.05023092,-0.07748207,0.0,0.12479628,0.0,-0.7748495,2.1148589,0.0,100.0,0.02,50.0,10.0,34.0,0.0,0.0,0.0,0.0,0.0,0.00093587174,0.037282486,0.26058942,0.7391565,0.5813491558261599,0.07937548,0.5688393
1474,20,2025-12-04 11:56:18.211162,0.0,1.0,50400.0,0.0,75.494896,9.916139,-0.51176053,0.02,1.0,0.014061547,0.0014,1020.0,0.0,-0.010874323,-0.07205173,0.0,0.094424985,0.0,-0.4965048,1.8952302,0.0,100.0,0.02,50.0,10.0,34.0,0.0,0.0,0.0,0.0,0.0,0.00093587174,0.037282486,0.26058942,0.7391565,0.5838836602319558,0.07937548,0.5688393
1475,20,2025-12-04 12:56:18.211162,0.0,1.0,54000.0,0.0,75.49454,9.913794,-0.16468072,0.02,1.0,0.014061547,0.0014,1020.0,0.0,0.012775756,-0.05569882,0.0,0.062699266,0.0,-0.49019474,1.5193617,0.0,100.0,0.02,50.0,10.0,34.0,0.0,0.0,0.0,0.0,0.0,0.00093587174,0.037282486,0.26058942,0.7391565,0.5862318878215086,0.07937548,0.5688393
1476,20,2025-12-04 13:56:18.211162,0.0,1.0,57600.0,0.0,75.49496,9.911981,-0.21369481,0.02,1.0,0.014061547,0.0014,1020.0,0.0,0.04532887,-0.041642487,0.0,0.037908882,0.0,-0.5034698,1.1346936,0.0,100.0,0.02,50.0,10.0,34.0,0.0,0.0,0.0,0.0,0.0,0.00093587174,0.037282486,0.26058942,0.7391565,0.5880409959000508,0.07937548,0.5688393
1477,20,2025-12-04 14:56:18.211162,0.0,1.0,61200.0,0.0,75.496445,9.910625,-0.4579839,0.02,1.0,0.014061547,0.0014,1020.0,0.0,0.08063432,-0.03083768,0.0,0.0203738,0.0,-0.51476055,0.7504831,0.0,100.0,0.02,50.0,10.0,34.0,0.0,0.0,0.0,0.0,0.0,0.00093587174,0.037282486,0.26058942,0.7391565,0.5893852654920164,0.07937548,0.5688393
1478,20,2025-12-04 15:56:18.211162,0.0,1.0,64800.0,0.0,75.49909,9.909622,-0.85929537,0.02,1.0,0.014061547,0.0014,1020.0,0.0,0.07255764,-0.01329076,0.0,0.040228974,0.0,-0.64122474,1.1064154,0.0,100.0,0.02,50.0,10.0,34.0,0.0,0.0,0.0,0.0,0.0,0.00093587174,0.037282486,0.26058942,0.7391565,0.5903785057110083,0.07937548,0.5688393
1479,20,2025-12-04 16:56:18.211162,0.0,1.0,68400.0,0.0,75.50147,9.909189,-1.7237206,0.02,1.0,0.014061547,0.0014,1020.0,0.0,0.061321113,0.0023015747,0.0,0.07115699,0.0,-0.78230095,1.5101542,0.0,100.0,0.02,50.0,10.0,34.0,0.0,0.0,0.0,0.0,0.0,0.00093587174,0.037282486,0.26058942,0.7391565,0.5908126106707233,0.07937548,0.5688393
1480,20,2025-12-04 17:56:18.211162,0.0,1.0,72000.0,0.0,75.50349,9.909264,-1.3879824,0.02,1.0,0.014061547,0.0014,1020.0,0.0,0.03828131,0.03227511,0.0,0.11108709,0.0,-0.92742574,1.9119667,0.0,100.0,0.02,50.0,10.0,34.0,0.0,0.0,0.0,0.0,0.0,0.00093587174,0.037282486,0.26058942,0.7391565,0.590746678441575,0.07937548,0.5688393
